YEAR,MONTH,MMNT,MMXT,MNTM
2007,4,32.8159,164.1226,98.4603
2007,5,96.5071,238.1724,167.3511
2007,6,139.3357,277.8835,208.6117
2007,7,165.0214,299.7705,232.4054
2007,8,167.0730,303.1783,235.1222
2007,9,120.0357,259.8090,190.0003
2007,10,72.5626,201.7434,137.1542
2007,11,-2.2037,123.8014,60.8062
2007,12,-47.0246,54.9842,3.9880
2008,1,-71.0786,41.1418,-14.9451
2008,2,-51.4807,67.6673,8.0987
2008,3,-16.5867,112.5200,47.9603
2008,4,31.8689,168.9617,100.4197
2008,5,80.0027,214.2559,147.1210
2008,6,143.3468,273.3996,208.3488
2008,7,161.6974,297.4466,229.5606
2008,8,152.0477,285.5567,218.8012
2008,9,120.2359,253.5507,186.9178
2008,10,53.2796,187.5916,120.4406
2008,11,2.1573,116.0168,59.0946
2008,12,-60.4070,52.7342,-3.8186
2009,1,-78.5943,39.1801,-19.6805
2009,2,-48.2674,79.1313,15.4546
2009,3,-10.5520,117.4509,53.4545
2009,4,35.6383,168.0577,101.8429
2009,5,95.0568,225.1393,160.1047
2009,6,138.2654,262.9615,200.5989
2009,7,153.2415,283.3971,218.3456
2009,8,152.9732,282.6727,217.7917
2009,9,121.1805,251.0875,186.1456
2009,10,45.2369,154.0235,99.6451
2009,11,14.2325,136.1211,75.1812
2009,12,-63.2747,35.2556,-14.0036
2010,1,-66.4552,33.0887,-16.6515
2010,2,-60.8615,40.5489,-10.1631
2010,3,-2.8066,120.9498,59.0480
2010,4,47.3496,188.3715,117.8306
2010,5,91.9627,219.8413,155.8853
2010,6,149.0413,274.3382,211.6530
2010,7,170.9126,300.2632,235.5803
2010,8,164.9232,297.0698,230.9814
2010,9,117.5383,258.2763,187.8911
2010,10,60.9085,200.6085,130.7491
2010,11,-4.1232,118.0421,56.9659
2010,12,-53.6255,45.2078,-4.2069
2011,1,-78.3970,30.4686,-23.9458
2011,2,-58.7268,62.7992,2.0623
2011,3,-7.4338,112.2561,52.4207
2011,4,42.1717,169.2896,105.6864
2011,5,85.7862,211.1119,148.4426
2011,6,138.1974,271.6991,204.9334
